,score,date
350,1,2012-10-19 18:02:58+00:00
351,1,2012-10-19 17:57:56+00:00
352,1,2012-10-19 17:57:24+00:00
353,1,2012-10-19 17:57:23+00:00
354,0,2012-10-19 17:41:23+00:00
355,2,2012-10-19 17:37:49+00:00
356,2,2012-10-19 17:13:42+00:00
357,1,2012-10-19 17:12:50+00:00
358,1,2012-10-19 17:05:11+00:00
359,0,2012-10-19 17:00:11+00:00
360,1,2012-10-19 16:55:11+00:00
361,1,2012-10-19 16:53:00+00:00
362,1,2012-10-19 16:49:12+00:00
363,2,2012-10-19 16:40:29+00:00
364,2,2012-10-19 16:39:55+00:00
365,1,2012-10-19 16:39:41+00:00
366,2,2012-10-19 16:36:38+00:00
367,1,2012-10-19 16:34:47+00:00
368,2,2012-10-19 16:33:19+00:00
369,2,2012-10-19 16:10:15+00:00
370,2,2012-10-19 15:58:18+00:00
371,2,2012-10-19 15:51:23+00:00
372,2,2012-10-19 15:45:30+00:00
373,2,2012-10-19 15:45:29+00:00
374,2,2012-10-19 15:41:25+00:00
375,1,2012-10-19 15:34:14+00:00
376,2,2012-10-19 15:26:50+00:00
377,1,2012-10-19 15:26:01+00:00
378,2,2012-10-19 15:20:51+00:00
379,2,2012-10-19 15:20:28+00:00
380,1,2012-10-19 15:08:07+00:00
381,1,2012-10-19 15:07:18+00:00
382,2,2012-10-19 15:06:31+00:00
383,2,2012-10-19 14:58:18+00:00
384,2,2012-10-19 14:57:36+00:00
385,2,2012-10-19 14:52:25+00:00
386,1,2012-10-19 14:51:54+00:00
387,1,2012-10-19 14:51:34+00:00
388,2,2012-10-19 14:45:56+00:00
389,1,2012-10-19 14:45:23+00:00
390,1,2012-10-19 14:27:07+00:00
391,1,2012-10-19 14:09:44+00:00
392,1,2012-10-19 13:58:58+00:00
393,1,2012-10-19 13:48:17+00:00
394,0,2012-10-19 13:28:32+00:00
395,1,2012-10-19 13:03:03+00:00
396,1,2012-10-19 12:59:42+00:00
397,0,2012-10-19 11:16:21+00:00
398,1,2012-10-19 11:01:10+00:00
399,1,2012-10-19 10:54:01+00:00
400,1,2012-10-19 10:21:39+00:00
401,1,2012-10-19 10:19:07+00:00
402,1,2012-10-19 09:46:32+00:00
403,1,2012-10-19 09:13:21+00:00
404,1,2012-10-19 08:13:40+00:00
405,1,2012-10-19 06:29:14+00:00
406,1,2012-10-19 06:19:18+00:00
407,1,2012-10-19 05:38:27+00:00
408,1,2012-10-19 05:38:27+00:00
409,1,2012-10-19 04:53:36+00:00
410,2,2012-10-19 04:50:12+00:00
411,1,2012-10-19 04:00:09+00:00
412,1,2012-10-19 04:00:06+00:00
413,1,2012-10-19 03:53:54+00:00
414,1,2012-10-19 03:43:44+00:00
415,1,2012-10-19 03:14:29+00:00
416,1,2012-10-19 02:12:44+00:00
417,2,2012-10-19 01:53:51+00:00
418,0,2012-10-19 01:37:08+00:00
