date,text
2020-06-15,biden says 'race-neutral' policies won't address disparities
2020-06-15,"medical examiner details autopsy findings in police shooting of rayshard brooks, death ruled homicide"
2020-06-15,trump kicks off week with biden broadside: ‘he’s weak & shot!’
2020-06-15,steve hilton: trump can give voters a choice - reform the police with him or abolish them with democrats
2020-06-15,trump calls bolton's memoir 'highly inappropriate' as wh readies legal action to stop publication
2020-06-15,trump battles health officials over indoor rally
2020-06-15,nbc news called out over tweets about trump’s tulsa event and a 'packed' rally in brooklyn
2020-06-15,"detroit's recent move to defund police had serious consequences, reporter finds: 'children are dying'"
2020-06-15,liz peek: left silences silent majority – but watch for this in november
2020-06-16,members of congress benefited from ppp loan program: report
2020-06-16,cruz rolls out bill to provide tax credits to businesses who test employees for coronavirus weekly
2020-06-16,"turmoil on three fronts: protests, coronavirus & the economy"
2020-06-16,trump says he wants major troop reduction in germany
2020-06-16,this day in history: june 16
2020-06-16,pence dismisses ‘grim predictions of a second wave’ of coronavirus
2020-06-16,idaho paying people to return to work after lockdowns
2020-06-16,watters warns 'luckiest politician of all time' biden 'is going to have to face the music' soon
2020-06-16,"culture wars are won by voters, not politicians"
2020-06-16,new ad by anti-trump gop group uses clip of president's slow walk at west point
2020-06-16,german intel report lays bare iran's attempts to obtain nuclear proliferation technology
2020-06-16,"five years ago today: trump announces candidacy, media laughs"
2020-06-16,democratic party fires away at trump as it launches general election offensive
2020-06-16,doj sues john bolton in federal court to block publication of upcoming book
2020-06-16,paul whelan's brother calls for russia to free him as moscow floats prisoner swap for 'merchant of death'
2020-06-16,"mike pence hits back at joe biden, rips 50 years of failed dem leadership in black communities"
2020-06-16,nypd chief of patrol on disbanding anti-crime unit: 'it's based on building trust with the community'
2020-06-16,"top republicans urge gop colleagues to support fisa reform, probe how tool was 'weaponized'"
2020-06-16,"police release 911 call before rayshard brooks confrontation, disciplinary histories of atlanta officers"
2020-06-16,newspapers ditching mugshot galleries amid concerns they advance negative stereotypes
2020-06-17,"treasury defends not releasing ppp loan info, cites small business privacy concerns"
2020-06-17,"bolton, in book, accuses trump of ‘obstruction of justice as a way of life,’ asking china's xi for 2020 help"
2020-06-17,"pompeo meets chinese counterpart in hawaii to talk trade, hong kong, human rights"
2020-06-17,lighthizer denies bolton claim that trump asked china’s xi for 2020 help: ‘never happened. i was there’
2020-06-17,trump administration hits assad regime with new economic and travel sanctions
2020-06-17,populists left and right seek social media control
2020-06-17,biden urges trump to 'wake up' and stop waving 'the white flag' on coronavirus
2020-06-17,researcher says coronavirus lockdowns cost us economy $1t without saving many lives
2020-06-17,"majority of house members back resolution supporting iranian opposition, condemning regime's terror"
2020-06-17,"sean hannity asks what joe biden has done 'to help improve the lives of you, we, the american people?'"
2020-06-17,kellyanne conway hits back at hypocritical 'covid-shaming' as economy reopens
2020-06-17,"former bush, trump administration officials form pro-biden super pac"
2020-06-17,james carafano: us should back india after china kills at least 20 indian troops
2020-06-17,schiff says bolton is 'no patriot' despite disclosures in memoir
2020-06-17,"police chief says seattle does not have 'cop-free' zones, denies city is 'under siege'"
2020-06-17,"un human rights chief urges nations to pay reparations for slavery, colonialism"
2020-06-17,parts of florida seeing people under 35 testing positive for coronavirus at higher rate
2020-06-17,paul lawrence: veteran outreach – agency creating new ways to connect during coronavirus shutdown
2020-06-17,"north korea: redeploying troops, resuming military exercises at inter-korean cooperation sites"
2020-06-17,arizona gov. ducey says public should wear coronavirus masks after heated statewide debate
2020-06-18,deroy murdock: trump campaign should make its slogan great again in tulsa
2020-06-18,"tech giants, including apple, amazon, cheer supreme court's daca ruling"
2020-06-18,white house trade adviser peter navarro blasts john bolton's book: it's 'deep swamp revenge porn'
2020-06-18,longtime top aide says trump risked security for personal gain
2020-06-18,bolton and trump trade jabs amid battle over book release
2020-06-18,"trump claims he made juneteenth 'famous,' in defiant interview: 'nobody had ever heard of it'"
2020-06-18,richard manning: bolton book’s lies are ultimate betrayal
2020-06-18,trump tells 'hannity' coronavirus is 'fading away' ahead of controversial tulsa rally
2020-06-18,bolton faces backlash from left and right as book excerpts leak: 'shirked his responsibilities'
2020-06-18,"conway swipes at bolton record, says trump national security gains were 'before he got there or after he left'"
2020-06-18,"chris wallace predicts bolton tell-all book will be 'one-week story,' then fade away"
2020-06-18,"bolton memoir discusses plot to replace pence, 'cool' venezuela invasion, and more"
2020-06-18,"trump calls for ‘new justices’ on supreme court, as conservatives rage at roberts"
2020-06-18,atlanta police call out of work at 'higher than usual' rate after 2 officers charged in rayshard brooks death
2020-06-18,sen. hawley blasts proposal to scrub confederate names from bases: 'they're trying to ... stir up a culture war'
2020-06-18,ali noorani: supreme court daca ruling — good news and now congress must act to protect dreamers
2020-06-18,race for virus vaccine could leave some countries behind
2020-06-19,biden's stimulus oversight questioned amid his attacks on trump coronavirus spending
2020-06-19,trump looks for his way back machine in tulsa
2020-06-19,"trump warns ‘anarchists’ not to disrupt tulsa rally, after threat prompts emergency order"
2020-06-19,charles hurt bashes bolton over claim trump unfit for office: 'john bolton has never been elected to anything'
2020-06-19,pompeo: china waging disinformation campaign to drive wedge between us and europe
2020-06-19,trump calls for 'new justices' after supreme court ruling on daca as conservatives take aim at roberts
2020-06-19,"colin kaepernick has shot to make nfl again with these two teams, super bowl-winning coach says"
2020-06-19,"taylor swift calls for juneteenth to be a national holiday, promises to continue to educate herself on history"
2020-06-19,sen. josh hawley’s big idea: allow americans to sue big tech for selective political censorship
2020-06-20,doug schoen: biden outpolls trump among key group trump carried in 2016 – president’s mismanagement big issue
2020-06-20,rep. greg walden: green new deal would cripple economy – republicans have better way to fight climate change
2020-06-20,trump expected to sign executive order expanding immigration restrictions
2020-06-20,"us attorney for southern district of new york resigning, barr says"
2020-06-20,biden forms early white house transition team
2020-06-20,trump returns to 2020 campaign trail with tulsa rally
2020-06-20,us attorney in new york disputes barr claim that he's resigning
