headlines,terms,dates
rep. al green says he's 'willing to forgive' trump if he combats 'institutionalized racism',trump,2020-06-11
ari fleischer: trump must do more 'to help the nation come together',trump,2020-06-11
joy behar walks back criticism of trump as a 'domestic terrorist',trump,2020-06-11
ivanka trump speech cancelation won’t cost wichita state president his job: report,trump,2020-06-11
biden ‘convinced’ us military would intervene if trump refused to leave white house,trump,2020-06-11
"trail blazers' c.j. mccollum upset over trump's rally venue, date",trump,2020-06-11
"pence criticized after packed meeting with trump campaign staff, ignoring social distancing guidelines",trump,2020-06-11
john yoo on seattle unrest: does trump have the power to intervene?,trump,2020-06-12
president trump says he is finalizing executive order on police reform,trump,2020-06-12
president trump repeats threat to end seattle protests,trump,2020-06-12
"harris faulkner asks trump why he tweeted 'when the looting starts, the shooting starts'",trump,2020-06-12
trump responds to biden's claim that he'll try to steal the election: 'joe's not all there',trump,2020-06-12
trump says he won't 'let seattle be occupied' by police-hating lawbreakers,trump,2020-06-12
trump calls for ‘new and updated’ republican party platform,trump,2020-06-12
trump responds to milley apology for lafayette square photo op,trump,2020-06-12
"rep. michael waltz on helping persuade president trump to bring the rnc to jacksonville, fl",trump,2020-06-12
top papers call trump out of step with changing racial attitudes,trump,2020-06-12
melania trump aide slams ‘false’ wapo story claiming first lady delayed white house move to renegotiate prenup,trump,2020-06-12
"john cusack claims military has 'abandoned' trump, remaining supporters are racists",trump,2020-06-12
trump mocks seattle mayor’s ‘summer of love’ comment: ‘these liberal dems don’t have a clue’,trump,2020-06-12
trump on decision to hold tulsa rally on juneteenth: 'it's a celebration',trump,2020-06-12
ted williams says trump should 'butt out' of seattle occupation debate: 'this is a state and local matter',trump,2020-06-12
attendees at trump’s rally next week must agree not to sue campaign if they get coronavirus,trump,2020-06-12
cnn’s chris cuomo mocked for using obama-era data to prove systemic racism impacts trump-era economy,trump,2020-06-12
north korea marks 2-year anniversary of trump-kim summit by vowing to build up military,trump,2020-06-12
rep. bobby rush blasts trump as 'the worst thing that has ever happened to the american presidency',trump,2020-06-12
reince priebus' advice to the trump campaign: demand six debates with joe biden,trump,2020-06-13
reince priebus wants lots of trump-biden debates: 'president is going to eat up joe biden',trump,2020-06-13
trump delays tulsa rally until june 20 over ‘juneteenth’ concerns,trump,2020-06-13
chris christie says trump needs to 'get out there and lead by example' by resuming campaign rallies,trump,2020-06-13
trump’s west point appearance will include coronavirus precautions,trump,2020-06-13
tim graham: anti-trump media coverage of president amounts to free advertising for biden,trump,2020-06-13
"trump campaign says 300,000 people applied for tickets to oklahoma rally",trump,2020-06-13
trump tells west point graduates america's institutions endure against 'passions and prejudices of the moment',trump,2020-06-13
