date,text
2020-06-22,read: the trump administration's proclamation extending limits on some work visas through 2020
2020-06-23,'mind-blowing': see what happened after trump officials tried to clean up remarks
2020-06-23,john avlon: checking trump's mail-in voting fraud claims
2020-06-23,trump says he was joking in these cases. you be the judge
2020-06-23,fauci and cdc director redfield to testify at house coronavirus oversight hearing
2020-06-23,cooper: trump's joke came at the expense of thousands of people
2020-06-23,analysis: this is the most succinc republican rejection of trump that you will read
2020-06-23,trump's brother takes legal action to block tell-all book by president's niece
2020-06-23,analysis: trump's testing claim is the latest in a pattern of supposed jokes
2020-06-23,top pentagon nominee pushed conspiracy theories that former cia director tried to overthrow trump and even have him assassinated
2020-06-23,trump's war against mail-in voting lacks republican allies
2020-06-23,"fauci, redfield testiy on trump's coronavirus response"
2020-06-23,doj whistleblower to testify that barr's personal anti-marijuana sentiment fueled cannabis industry investigations
2020-06-23,white house now says trump was involved in firing us attorney
2020-06-23,trump pays price for pandemic denial
2020-06-23,"what you need to know about coronavirus on tuesday, june 23"
2020-06-23,trump moves quickly to calm worries over china trade deal after adviser's comments
2020-06-23,twitter puts warning on trump tweet for threat of harm against dc protesters
2020-06-23,joe biden frightens donald trump
2020-06-23,hospitals lose bid to keep secret the rates they negotiate with insurers
2020-06-23,democrats go on offense against trump on trade and china
2020-06-24,"opinion: trump is not 'kidding,' he's lying"
2020-06-24,"blitzer to bolton: if you had testified, you might've made a difference"
2020-06-24,obama calls out republicans for enabling the white house
2020-06-24,"'upsetting,' er doctor reacts to trump's rally"
2020-06-24,opinion: what if trump rejects the election result?
2020-06-24,student at trump rally criticized for aunt jemima remarks
2020-06-24,analysis: can a genuine change movement survive trump's taunts?
2020-06-24,appeals court orders judge to dismiss michael flynn case
2020-06-24,bolton says trump turned 'a blind eye' to the coronavirus pandemic
2020-06-24,opinion: a sign of barr's abuse of power
2020-06-24,"3 takeaways from primary night in ny, kentucky and north carolina"
2020-06-24,"'we have to make sure the virus doesn't come in on a plane,' cuomo says"
2020-06-24,trump's unhinged 'treason' accusation against obama
2020-06-24,cooper: trump is pretending the virus has passed
2020-06-24,calls are growing to defund police in the us. here are some lessons from overseas
2020-06-24,cnn legal analyst breaks down flynn decision
2020-06-24,polls in wisconsin and ohio bring good news for joe biden
2020-06-24,federal judge blocks removal of honduran boy caught in coronavirus-related border restrictions
2020-06-24,"fact check: trump claimed he was left 'no ventilators.' his administration just confirmed he had more than 16,000"
2020-06-24,read: appeals court order to dismiss michael flynn case
2020-06-25,trump administration prepares major effort to protect monuments
2020-06-25,president trump calls out reporter on social distancing
2020-06-25,mccarthy outraged by covid-19 question
2020-06-25,"don lemon: if you value your health, don't believe trump"
2020-06-25,trump is desperate -- and dangerous
2020-06-25,trump has been suggesting covid-19 is under control for 156 days now
2020-06-25,cnn analyst on new york times poll: this is huge
2020-06-25,trump is not just in denial but also indifferent to an unfolding american tragedy
2020-06-25,the point: has donald trump's political magic worn off?
2020-06-25,donald trump has a hiring problem
2020-06-25,multiple trump campaign staffers quarantining after tulsa rally
2020-06-25,dozens of secret service agents will be quarantined after trump's tulsa rally
2020-06-25,trump administration prepares major effort to protect monuments that includes us marshals and executive order
2020-06-25,analysis: trump now trails significantly in 2016's most pivotal state
2020-06-25,administration moves to open large area of remote alaska for oil drilling
2020-06-25,trump won't follow new jersey quarantine mandate during upcoming trip
2020-06-25,donald trump is facing the prospect of a landslide loss
2020-06-25,biden says trump's 'senseless crusade' to end obamacare would harm those with coronavirus
2020-06-25,former gop candidate carly fiorina says she'll vote for biden
2020-06-25,court dismisses motion by trump's brother to block tell-all book by president's niece
2020-06-26,trump administration imposes visa restrictions on chinese officials
2020-06-26,analysis: what is trump's agenda for a second term? he can't say
2020-06-26,trump's going to protect confederate statues
2020-06-26,trump says he signed executive order to protect monuments
2020-06-26,"china loves john bolton's book for embarrassing trump, but not the parts about xi jinping"
2020-06-26,trump entrenched in failed strategy as aides and allies try to encourage a pivot
2020-06-26,witness in the mueller investigation and informal trump adviser gets 10 years in prison in child sex case
2020-06-26,trump asked about a second term. hear his response
2020-06-26,trump administration asks supreme court to invalidate obamacare
2020-06-26,trump administration imposes visa restrictions on chinese officials
2020-06-26,"trump can't divert military funds for border wall, federal appeals court says"
2020-06-26,"fact check: trump falsely claims biden, who has committed to the debates, is trying to get out of debating"
2020-06-26,"trump administration finalizing plan to withdraw 4,000 troops from afghanistan"
2020-06-26,trump is taking the 2020 election to a dark place
2020-06-26,"barr says, without citing evidence, that an election done predominantly by mail would not be secure"
2020-06-26,"fact check: trump falsely claims biden, who has committed to the debates, is trying to get out of debating"
2020-06-26,the week in 11 headlines
2020-06-26,justice department denies giving roger stone special treatment in backing his request to delay prison term
2020-06-26,william perry pendley to be nominated to lead land management agency
2020-06-26,federally funded texas testing sites granted partial extension after outcry
2020-06-27,trump campaign postpones pence's campaign events in florida and arizona
2020-06-27,analysis: what cuomo wants trump to admit about coronavirus
