,Unnamed: 0,ID,YEAR_FIPS,YEAR,STATE_FIPS,COUNTY_FIPS,STATE,COUNTY,REP_CANDIDATE,DEM_CANDIDATE,REP_VOTES,DEM_VOTES,COUNTY_TOTALVOTES,WINNING_CANDIDATE,WINNING_PARTY,WINNING_PARTY_BINARY,HOUSE_WINNING_BINARY,SENATE_WINNING_BINARY,UNEMPLOYMENT_RATE,AVG_WAGE_SALARY,AA_FEMALE,AA_MALE,BA_FEMALE,BA_MALE,H_FEMALE,H_MALE,IA_FEMALE,IA_MALE,NA_FEMALE,NA_MALE,TOT_FEMALE,TOT_MALE,TOT_POP,WA_FEMALE,WA_MALE,TOT_POP_LESS19,TOT_MALE_LESS19,TOT_FEMALE_LESS19,TOT_POP_20to39,TOT_MALE_20to39,TOT_FEMALE_20to39,TOT_POP_40to59,TOT_MALE_40to59,TOT_FEMALE_40to59,TOT_POP_Above60,TOT_MALE_Above60,TOT_FEMALE_Above60,AA_FEMALE%,AA_MALE%,BA_FEMALE%,BA_MALE%,H_FEMALE%,H_MALE%,IA_FEMALE%,IA_MALE%,NA_FEMALE%,NA_MALE%,WA_FEMALE%,WA_MALE%,TOT_FEMALE%,TOT_MALE%,TOT_POP_LESS19%,TOT_POP_20to39%,TOT_POP_40to59%,TOT_POP_Above60%
24,24,656,20201049,2020,1,49,Alabama,DeKalb County,,,,,,,,0,1.0,-1.0,6.0,206916,176,192,651,674,4946,5649,712,737,206,251,35957,35428,71385,33439,32745,18938,9774,9164,16819,8549,8270,18741,9361,9380,16887,7744,9143,0.002465504,0.0026896409999999996,0.009119563,0.009441759000000001,0.069286265,0.079134272,0.009974084,0.010324298,0.00288576,0.003516145,0.46843174299999996,0.45870981299999997,0.50370526,0.49629474,0.265293829,0.235609722,0.262534146,0.236562303
25,25,657,20201051,2020,1,51,Alabama,Elmore County,,,,,,,,0,1.0,-1.0,4.7,67780,321,260,8934,8636,1280,1187,200,225,45,50,42302,39585,81887,32047,29753,19994,10246,9748,22150,10803,11347,22205,10518,11687,17538,8018,9520,0.003920036,0.003175107,0.109101567,0.105462406,0.015631297,0.014495585,0.00244239,0.002747689,0.000549538,0.0006105980000000001,0.39135638100000003,0.36334216700000005,0.516589935,0.483410065,0.24416574100000002,0.27049470600000003,0.271166363,0.21417319
26,26,658,20201053,2020,1,53,Alabama,Escambia County,,,,,,,,0,1.0,-1.0,6.6,75480,66,46,5506,6133,385,522,729,694,7,16,18120,18628,36748,11456,11336,8953,4470,4483,9363,5248,4115,9558,5053,4505,8874,3857,5017,0.001796016,0.001251769,0.149831283,0.166893436,0.010476761,0.014204855,0.019837814,0.018885382,0.000190487,0.00043539800000000003,0.311744857,0.308479373,0.49308805899999997,0.506911941,0.243632307,0.254789376,0.260095788,0.24148253
27,27,659,20201055,2020,1,55,Alabama,Etowah County,,,,,,,,0,1.0,-1.0,5.9,35339,418,434,8579,7515,1917,2199,283,341,144,174,52848,49653,102501,42477,40319,24279,12497,11782,24680,12210,12470,27033,13136,13897,26509,11810,14699,0.0040780090000000005,0.004234105,0.083696744,0.073316358,0.018702257,0.021453449,0.0027609490000000004,0.0033267970000000003,0.001404864,0.001697544,0.41440571299999995,0.39335226,0.515585214,0.48441478600000004,0.236865982,0.24077813899999997,0.263734012,0.258621867
28,28,660,20201057,2020,1,57,Alabama,Fayette County,,,,,,,,0,1.0,-1.0,6.7,347292,53,19,1007,963,142,155,35,42,0,0,8410,8023,16433,7199,6877,3821,1973,1848,3743,1900,1843,4229,2069,2160,4640,2081,2559,0.0032252179999999997,0.00115621,0.061279133,0.05860159400000001,0.008641149,0.00943224,0.0021298610000000003,0.002555833,0.0,0.0,0.43808190799999996,0.41848719,0.5117750870000001,0.488224913,0.232519929,0.227773383,0.257348019,0.282358669
29,29,661,20201059,2020,1,59,Alabama,Franklin County,,,,,,,,0,1.0,-1.0,5.9,836075,56,51,624,803,2395,3172,209,276,51,27,15540,15823,31363,14368,14370,8397,4342,4055,7575,4021,3554,8182,4186,3996,7209,3274,3935,0.001785543,0.00162612,0.019896056000000002,0.025603418,0.076363868,0.10113828400000001,0.0066639030000000005,0.008800179,0.00162612,0.000860887,0.45811944,0.45818321,0.495488314,0.5045116860000001,0.267735867,0.24152664,0.260880656,0.229856838
30,30,662,20201061,2020,1,61,Alabama,Geneva County,,,,,,,,0,1.0,-1.0,5.8,31003,49,41,1292,1199,486,578,134,136,8,11,13468,12846,26314,11737,11214,6317,3227,3090,5812,2890,2922,6876,3376,3500,7309,3353,3956,0.001862127,0.001558106,0.049099339000000006,0.045565098,0.018469256,0.021965494,0.005092346,0.005168351,0.00030402099999999997,0.00041802800000000003,0.44603633,0.426160979,0.511818804,0.48818119600000004,0.240062324,0.22087101899999997,0.26130576899999997,0.277760888
31,31,663,20201063,2020,1,63,Alabama,Greene County,,,,,,,,0,1.0,-1.0,9.9,463344,11,11,3498,3099,68,69,12,15,0,0,4346,3887,8233,783,736,1991,1010,981,1862,926,936,1896,869,1027,2484,1082,1402,0.001336086,0.001336086,0.424875501,0.37641199999999997,0.008259444,0.008380906,0.001457549,0.0018219360000000001,0.0,0.0,0.095105065,0.089396332,0.527875622,0.47212437799999996,0.241831653,0.226163003,0.23029272399999998,0.30171262
32,32,664,20201065,2020,1,65,Alabama,Hale County,,,,,,,,0,1.0,-1.0,7.6,69104,23,19,4623,3938,84,116,20,17,1,1,7718,7008,14726,3002,2986,3754,1965,1789,3507,1650,1857,3623,1663,1960,3842,1730,2112,0.001561863,0.001290235,0.313934538,0.267418172,0.005704196999999999,0.007877224,0.0013581420000000001,0.001154421,6.790000000000001e-05,6.790000000000001e-05,0.203857123,0.20277061,0.524107022,0.47589297799999997,0.254923265,0.23815021100000003,0.246027434,0.26089909
33,33,665,20201067,2020,1,67,Alabama,Henry County,,,,,,,,0,1.0,-1.0,6.5,340083,37,27,2416,2107,214,246,31,54,1,3,8909,8300,17209,6297,5983,3891,2012,1879,3726,1860,1866,4404,2121,2283,5188,2307,2881,0.002150038,0.001568946,0.140391656,0.122435935,0.012435354,0.014294846000000002,0.001801383,0.0031378929999999997,5.8099999999999996e-05,0.000174327,0.365913185,0.347666918,0.51769423,0.48230577,0.226102621,0.216514614,0.255912604,0.301470161
