,YEAR_FIPS,STATE_FIPS,COUNTY_FIPS,HOUSE_WINNING_BINARY,SENATE_WINNING_BINARY,UNEMPLOYMENT_RATE,AVG_WAGE_SALARY,AA_FEMALE,AA_MALE,BA_FEMALE,BA_MALE,H_FEMALE,H_MALE,IA_FEMALE,IA_MALE,NA_FEMALE,NA_MALE,TOT_FEMALE,TOT_MALE,TOT_POP,WA_FEMALE,WA_MALE,TOT_POP_LESS19,TOT_MALE_LESS19,TOT_FEMALE_LESS19,TOT_POP_20to39,TOT_MALE_20to39,TOT_FEMALE_20to39,TOT_POP_40to59,TOT_MALE_40to59,TOT_FEMALE_40to59,TOT_POP_Above60,TOT_MALE_Above60,TOT_FEMALE_Above60,AA_FEMALE%,AA_MALE%,BA_FEMALE%,BA_MALE%,H_FEMALE%,H_MALE%,IA_FEMALE%,IA_MALE%,NA_FEMALE%,NA_MALE%,WA_FEMALE%,WA_MALE%,TOT_FEMALE%,TOT_MALE%,TOT_POP_LESS19%,TOT_POP_20to39%,TOT_POP_40to59%,TOT_POP_Above60%,COUNTY_TOTALVOTES
349,20161061,1,61,1,1,5.8,31003,51,37,1356,1205,426,539,116,135,5,12,13553,13044,26597,11778,11426,6423,3307,3116,5985,2975,3010,7371,3667,3704,6818,3095,3723,0.001917509,0.001391134,0.050983194,0.045305862,0.016016844,0.020265443,0.004361394,0.00507576,0.00018799099999999998,0.000451179,0.44283189799999995,0.429597323,0.509568748,0.49043125200000004,0.241493402,0.225025379,0.27713651899999997,0.256344701,10397
350,20161063,1,63,1,1,9.9,463344,7,9,3712,3279,40,46,9,12,0,0,4510,4075,8585,749,751,2171,1130,1041,1917,950,967,2208,1009,1199,2289,986,1303,0.000815376,0.00104834,0.432382062,0.381945253,0.0046592890000000005,0.005358183000000001,0.00104834,0.0013977870000000002,0.0,0.0,0.087245195,0.08747816,0.525334886,0.474665114,0.252882935,0.22329644699999998,0.257192778,0.266627839,5317
351,20161065,1,65,1,1,7.6,69104,30,14,4797,3973,92,102,15,11,0,1,7984,7063,15047,3100,3015,3922,1967,1955,3458,1632,1826,4028,1850,2178,3639,1614,2025,0.001993753,0.000930418,0.31880109,0.264039343,0.006114176,0.00677876,0.000996876,0.000731043,0.0,6.65e-05,0.206021134,0.200372167,0.530604107,0.46939589299999995,0.260649963,0.229813252,0.267694557,0.24184222800000002,6985
352,20161067,1,67,1,1,6.5,340083,55,35,2473,2170,201,227,22,40,1,2,8818,8264,17082,6175,5899,3967,2070,1897,3699,1817,1882,4646,2264,2382,4770,2113,2657,0.003219763,0.00204894,0.144772275,0.127034305,0.011766772,0.013288842,0.001287905,0.002341646,5.85e-05,0.000117082,0.361491629,0.34533427,0.5162159000000001,0.48378409999999994,0.23223276,0.21654373,0.27198220300000003,0.279241307,7687
353,20161069,1,69,1,1,5.8,200960,533,393,14919,12890,1571,1758,270,248,48,33,54186,49970,104156,37437,35483,26916,13950,12966,26222,12526,13696,27845,13347,14498,23173,10147,13026,0.005117324,0.0037731859999999996,0.143237067,0.12375667300000001,0.015083145,0.016878528,0.002592265,0.002381044,0.00046084699999999996,0.000316832,0.359432006,0.340671685,0.5202388720000001,0.479761128,0.258420062,0.25175698,0.267339376,0.22248358199999999,40695
354,20161071,1,71,1,1,6.3,833016,147,128,897,900,667,817,425,395,24,32,26682,25880,52562,24536,23738,12469,6533,5936,11948,5942,6006,14834,7373,7461,13311,6032,7279,0.0027966970000000003,0.0024352189999999998,0.017065561,0.017122636,0.012689776000000002,0.015543548999999999,0.008085689,0.007514935,0.000456604,0.000608805,0.466801111,0.45161904,0.507629086,0.492370914,0.237224611,0.227312507,0.282219094,0.253243788,24730
355,20161073,1,73,1,1,5.7,1363206,5453,4941,154405,129752,11020,13099,1023,1009,165,178,347458,312460,659918,182536,172955,168834,85739,83095,181581,87089,94492,174615,82454,92161,134888,57178,77710,0.008263148,0.007487294,0.233976039,0.19661836800000002,0.016699044,0.019849436,0.0015501929999999998,0.0015289779999999998,0.000250031,0.00026973,0.276604063,0.262085592,0.526516931,0.473483069,0.25584087699999997,0.275156913,0.264601056,0.204401153,286771
356,20161075,1,75,1,1,5.6,146488,6,4,842,699,93,117,18,14,1,1,7216,6851,14067,6255,6026,3320,1691,1629,2960,1453,1507,3931,1947,1984,3856,1760,2096,0.00042653,0.000284353,0.059856402,0.049690766,0.006611218,0.008317338,0.001279591,0.000995237,7.11e-05,7.11e-05,0.44465771,0.428378474,0.512973626,0.487026374,0.236013365,0.21042155399999998,0.279448354,0.274116727,6282
357,20161077,1,77,1,1,6.3,100782,395,362,5157,4366,1063,1123,214,207,21,30,48508,44505,93013,42052,38866,21927,11030,10897,23516,11549,11967,24500,11767,12733,23070,10159,12911,0.004246718,0.003891929,0.055443862999999996,0.046939675,0.01142851,0.012073581000000002,0.002300754,0.002225495,0.000225775,0.000322536,0.452108845,0.417855569,0.5215184970000001,0.478481503,0.23574124,0.252824874,0.26340404,0.248029845,44985
358,20161079,1,79,1,1,6.9,357302,36,30,2000,1780,331,369,975,973,2,4,17167,16281,33448,13413,12784,8000,4041,3959,7725,3884,3841,9911,4822,5089,7812,3534,4278,0.001076298,0.000896915,0.059794308,0.053216934,0.009895958,0.01103205,0.029149725,0.029089931,5.98e-05,0.000119589,0.401010524,0.38220521399999996,0.5132444389999999,0.486755561,0.23917723,0.230955513,0.296310691,0.233556565,15942
359,20161081,1,81,1,1,5.2,433356,2645,2897,19467,16650,2514,3173,250,292,68,85,78184,76361,154545,54541,55223,41076,20821,20255,54577,27684,26893,35975,17418,18557,22917,10438,12479,0.017114756000000002,0.018745348999999998,0.125963312,0.107735611,0.016267107,0.020531237,0.001617652,0.0018894170000000002,0.000440001,0.000550002,0.352913391,0.357326345,0.505897959,0.494102041,0.265786664,0.353146333,0.23278009600000002,0.148286907,64298
360,20161083,1,83,1,1,5.2,91034,720,549,5841,6324,2443,2650,348,386,77,82,45177,45419,90596,37277,37144,23148,11755,11393,23247,12023,11224,26617,13631,12986,17584,8010,9574,0.007947371,0.00605987,0.064473045,0.069804406,0.02696587,0.02925074,0.0038412290000000003,0.004260674,0.000849927,0.000905117,0.411464082,0.409996026,0.4986644,0.5013356,0.255507969,0.256600733,0.29379884300000003,0.194092454,44085
361,20161085,1,85,1,1,10.5,128724,17,8,4149,3629,78,70,14,14,0,4,5500,4998,10498,1274,1306,2656,1339,1317,2499,1237,1262,2892,1330,1562,2451,1092,1359,0.001619356,0.00076205,0.395218137,0.345684892,0.007429987,0.006667937,0.001333587,0.001333587,0.0,0.000381025,0.121356449,0.124404649,0.523909316,0.476090684,0.253000572,0.238045342,0.275481044,0.233473042,4775
362,20161087,1,87,1,1,7.6,236088,20,51,8890,7238,135,162,25,15,1,2,10631,9017,19648,1545,1595,4705,2272,2433,5453,2535,2918,4740,2192,2548,4750,2018,2732,0.001017915,0.002595684,0.452463355,0.36838355,0.006870928,0.008245114,0.001272394,0.000763436,5.0900000000000004e-05,0.000101792,0.078633958,0.081178746,0.541072883,0.45892711700000005,0.23946457699999998,0.277534609,0.241245928,0.241754886,9889
363,20161089,1,89,1,1,5.1,1120680,5086,4060,45798,39938,7618,8521,1449,1418,196,211,178925,170882,349807,121930,121153,88361,44928,43433,93727,46658,47069,100636,49230,51406,67083,30066,37017,0.014539446000000001,0.0116064,0.13092362400000002,0.11417152900000001,0.021777723,0.024359147,0.004142284,0.004053664,0.000560309,0.00060319,0.34856363700000004,0.34634241200000004,0.511496339,0.48850366100000003,0.25259929,0.267939178,0.287690069,0.191771463,175563
364,20161091,1,91,1,1,7.1,39069,34,25,5608,4613,234,234,26,25,15,20,10610,9370,19980,4836,4599,5066,2508,2558,4628,2215,2413,5365,2463,2902,4921,2184,2737,0.001701702,0.001251251,0.280680681,0.230880881,0.011711711999999999,0.011711711999999999,0.0013013010000000002,0.001251251,0.000750751,0.001001001,0.24204204199999999,0.23018018,0.531031031,0.46896896899999996,0.25355355399999996,0.231631632,0.268518519,0.24629629600000003,9379
365,20161093,1,93,1,1,6.6,564689,56,38,457,707,315,399,62,55,12,7,15256,14946,30202,14497,13973,6994,3638,3356,6641,3321,3320,8497,4331,4166,8070,3656,4414,0.001854182,0.001258195,0.015131448,0.023409046,0.010429773,0.013211046,0.002052844,0.001821071,0.000397325,0.000231773,0.480001324,0.46265148,0.50513211,0.49486789,0.231574068,0.2198861,0.28133898399999996,0.267200848,14502
366,20161095,1,95,1,1,5.3,411540,382,275,1011,1417,5500,6711,465,539,120,124,47868,46409,94277,45142,43229,25447,13188,12259,23032,11633,11399,24979,12366,12613,20819,9222,11597,0.00405189,0.0029169359999999997,0.010723718,0.015030176999999999,0.058338725,0.071183852,0.004932274,0.005717195,0.001272845,0.0013152729999999998,0.47882304299999995,0.458531773,0.507737836,0.492262164,0.269917371,0.244301367,0.264953276,0.220827986,36757
367,20161097,1,97,1,1,6.6,45263,4220,3943,79273,67485,5358,5942,2021,1930,105,129,216326,198264,414590,127564,121717,109883,55699,54184,110924,53310,57614,108740,51836,56904,85043,37419,47624,0.010178731,0.009510601,0.191208182,0.162775272,0.012923611000000002,0.014332232,0.004874695,0.004655202,0.00025326200000000003,0.00031115099999999996,0.307687113,0.293584023,0.5217829660000001,0.478217034,0.26504016,0.267551075,0.26228322,0.20512554600000002,179079
368,20161099,1,99,1,1,9.0,688755,39,39,4912,4163,141,144,138,146,2,6,11439,10488,21927,6171,5966,5639,2925,2714,4774,2259,2515,6059,2896,3163,5455,2408,3047,0.0017786289999999999,0.0017786289999999999,0.22401605300000002,0.18985725399999998,0.006430428,0.006567246,0.006293611,0.006658458000000001,9.120000000000001e-05,0.000273635,0.28143384899999996,0.272084645,0.521685593,0.47831440700000005,0.257171524,0.21772244300000002,0.276325991,0.248780043,10776
369,20161101,1,101,1,1,5.6,769913,3146,2997,70119,59950,3523,3961,383,363,102,131,119854,107692,227546,44417,42847,60578,30706,29872,65522,31628,33894,58050,26963,31087,43396,18395,25001,0.013825776000000001,0.013170963,0.308153077,0.263463212,0.015482583999999999,0.017407469,0.001683176,0.0015952820000000002,0.000448261,0.0005757080000000001,0.19520009100000002,0.188300388,0.5267242670000001,0.473275733,0.266223093,0.287950568,0.255113252,0.190713087,93569
370,20161103,1,103,1,1,5.5,472769,448,349,7698,7187,4226,5100,577,655,68,93,60654,58804,119458,50639,49358,30238,15518,14720,29409,14939,14470,33477,16599,16878,26334,11748,14586,0.0037502720000000002,0.0029215290000000004,0.06444105900000001,0.060163405,0.03537645,0.042692829,0.00483015,0.005483099,0.000569238,0.000778516,0.42390631,0.41318287600000003,0.507743307,0.49225669299999997,0.25312662199999997,0.246186944,0.280240754,0.22044568,54775
371,20161105,1,105,1,1,10.3,286340,18,31,3617,3076,65,69,8,13,2,3,5201,4603,9804,1516,1464,2781,1455,1326,2352,1094,1258,2342,1076,1266,2329,978,1351,0.001835985,0.003161975,0.368931049,0.31374949,0.006629947,0.007037944,0.000815993,0.0013259889999999999,0.000203998,0.000305998,0.154630763,0.149326805,0.530497756,0.46950224399999996,0.283659731,0.23990208100000002,0.238882089,0.23755610000000002,3937
372,20161107,1,107,1,1,6.8,107562,28,22,4384,3868,267,572,18,29,20,43,10212,10071,20283,5675,6014,4645,2447,2198,5048,2638,2410,5702,2797,2905,4888,2189,2699,0.0013804660000000001,0.001084652,0.21614159600000002,0.190701573,0.013163733,0.028200956,0.000887443,0.001429769,0.0009860469999999999,0.002120002,0.27979095800000003,0.29650446199999997,0.503475817,0.49652418299999995,0.229009515,0.24887837100000001,0.281122122,0.240989992,7016
373,20161109,1,109,1,1,6.5,389320,262,373,6711,5674,342,385,108,114,17,16,17237,15960,33197,9860,9481,8267,3983,4284,11329,5717,5612,7235,3393,3842,6366,2867,3499,0.007892279,0.011235955,0.20215682100000001,0.17091905899999998,0.010302136,0.011597433999999998,0.0032533059999999996,0.003434045,0.000512094,0.000481971,0.29701479,0.285598096,0.519233666,0.48076633399999996,0.249028527,0.34126577700000005,0.21794138,0.19176431600000002,15962
374,20161111,1,111,1,1,5.6,255720,45,28,2335,2077,312,337,54,42,7,8,11505,10850,22355,8906,8531,5553,2820,2733,4814,2344,2470,6138,3027,3111,5850,2659,3191,0.002012972,0.001252516,0.104450906,0.09290986400000001,0.013956608999999998,0.015074927,0.002415567,0.001878774,0.000313129,0.00035786199999999997,0.39838962200000005,0.38161485100000003,0.514649966,0.485350034,0.248400805,0.21534332399999997,0.274569448,0.261686424,10581
