date,text
2020-06-13,chris christie says trump needs to 'get out there and lead by example' by resuming campaign rallies
2020-06-13,jacksonville mayor lenny curry promises full arena for republican national convention: 'we’re not going to operate out of fear'
2020-06-13,trump’s west point appearance will include coronavirus precautions
2020-06-13,tim graham: anti-trump media coverage of president amounts to free advertising for biden
2020-06-13,"trump campaign says 300,000 people applied for tickets to oklahoma rally"
2020-06-13,trump tells west point graduates america's institutions endure against 'passions and prejudices of the moment'
2020-06-13,secret service walks back denial of using tear gas on white house protesters
2020-06-13,hannity knocks seattle occupiers for building 'border wall': 'i thought liberals were against these things'
2020-06-13,"fox news rundown extra: judge napolitano on police reform, removing confederate statues"
2020-06-13,"hhs reverses obamacare rule that included abortion, gender identity in sex discrimination protections"
2020-06-13,"kim jong un's sister threatens military action against south korea, promises 'tragic scene' at liaison office"
2020-06-13,seattle police chief wants to retake precinct in occupied chaz 'as soon as possible'
2020-06-13,'lamphone' technique allows spies to target victims using lightbulbs for real-time eavesdropping
2020-06-13,dr. alveda king: joe biden 'stirring the race card up' comparing uncle's death to george floyd's
2020-06-13,"ilhan omar's gop challenger eyes upset in november, hits 'unthinking' call to defund police"
2020-06-13,"spacex expands network with launch of 58 satellites, completes second of four launches"
2020-06-14,this day in history: june 14
2020-06-14,"gates: obama, gwb used military as a prop -- but trump administration takes those efforts to 'a new level'"
2020-06-14,trump campaign claims record number of ticket requests for rescheduled tulsa rally
2020-06-14,kudlow says it's 'probably' good idea for trump supporters to wear masks to oklahoma rally
2020-06-14,chris wallace on trump-biden race being far from decided: 'everything can change'
2020-06-14,"spurs' gregg popovich calls out jerry jones, robert kraft for supporting president trump"
2020-06-14,"what will 2020 elections be about? impeachment, pandemic, george floyd death by june leaves door wide open"
2020-06-14,first observant sikh woman graduates from us military academy at west point
2020-06-14,virginia gop congressman who officiated same-sex wedding loses primary battle
2020-06-14,what is juneteenth? the history behind the oldest commemoration of the abolishment of slavery in the us
2020-06-14,dem congresswoman pushes back on trump's claim that he’s done more for black americans than any president other than lincoln
2020-06-14,sen. ron johnson on russia probe's biggest questions: 'who knew what and when?'
2020-06-14,maine moose hunt permits spike amid coronavirus; lottery drawing runs over 3 hours
2020-06-14,"cuomo threatens to shut down manhattan, hamptons again if coronavirus social-distancing rules broken"
2020-06-14,confusion reigns as seattle's seized six blocks known as chaz purportedly changes name to chop: 'we're not trying to secede'
2020-06-14,gop sen. tim scott: brooks shooting highlights need for better police training
2020-06-14,professor explains why he's 'a bit skeptical' of idea of 'systemic or institutional racism'
2020-06-14,former acting dni grenell on declassifying russia probe docs: 'transparency is never political'
2020-06-14,"trump warns nfl, us soccer he'll tune them out over anthem protests: 'i won't be watching'"
2020-06-14,newt gingrich: testing won't help fight coronavirus unless we do this
2020-06-15,trump battles health officials over indoor rally
2020-06-15,president trump set to announce police reform plan
2020-06-15,"steve hilton says voters must decide: 'reform the police with trump, or abolish the police with democrats'"
2020-06-15,trump calls shooting death of rayshard brooks 'very disturbing'
2020-06-15,steve hilton: trump can give voters a choice - reform the police with him or abolish them with democrats
2020-06-15,this day in history: june 15
2020-06-15,trump campaign rips planned parenthood endorsement of biden
2020-06-15,trump campaign touts 1 million ticket requests for tulsa rally
2020-06-15,trump campaign seeks apology from cnn after stelter ‘sexist’ interview
2020-06-15,trump kicks off week with biden broadside: ‘he’s weak & shot!’
2020-06-15,jack brewer: “disturbing” for biden to call trump racist after crime bill
2020-06-15,cdc head: schools will “absolutely” reopen in the fall
2020-06-15,trump calls bolton's memoir 'highly inappropriate' as wh readies legal action to stop publication
2020-06-15,conway says trump will sign police reform bill if it's 'reasonable and negotiated'
2020-06-15,politifact says cuomo's ny nursing home policy claim blaming trump admin is 'mostly false'
2020-06-15,president trump says media trying to 'covid shame' upcoming tulsa rally
2020-06-15,"trump's birthday marks rnc, trump campaign's single best online fundraising day ever"
2020-06-15,fifa urges 'mutual respect' in response to trump tweet on us soccer
2020-06-15,trump claims media trying to ‘covid shame’ over his upcoming rally
2020-06-15,ben carson says trump will ‘get there’ on players kneeling during anthem
2020-06-16,president trump calls for unity at signing for police reform executive order
2020-06-16,"white house defends trump administration efforts on prison, police reform"
2020-06-16,lara trump fires back at critics of tulsa rally: 'nobody has to attend the rally. this is a choice'
2020-06-16,mercedes schlapp: simply not true president trump is unhappy with brad parscale
2020-06-16,this day in history: june 16
2020-06-16,trump calls school choice the civil rights issue of ‘all-time in this country’
2020-06-16,rita moreno says donald trump is giving people 'permission' to be racist through his words and actions
2020-06-16,jim carrey floats conspiracy theory that trump may be the first us president to defect
2020-06-16,georgia dem who backs trump wants to make attacks on supporters a hate crime
2020-06-16,trump edges biden 44-43 in tight iowa race: poll
2020-06-16,"five years ago today: trump announces candidacy, media laughs"
2020-06-16,trump signs police reform executive order in rose garden ceremony
2020-06-16,trump says he wants major troop reduction in germany
2020-06-16,trump signs executive order on policing: read the document
2020-06-16,does trump’s police reform order go far enough?
2020-06-16,mcenany rips media for showing 'how much they have trump derangement syndrome' by criticizing tulsa rally
2020-06-16,laurence tribe apologizes for saying joe biden should select elizabeth warren as running mate over someone based on 'cosmetics'
2020-06-16,mcconnell says he's 'ok' with renaming us military installations named for confederates
2020-06-16,doj sues john bolton in federal court to block publication of upcoming book
2020-06-16,ny times correspondent says it's 'preposterous' for trump to have constructive role for change
2020-06-17,"sean hannity to interview president trump on wednesday, june 17"
2020-06-17,donald trump jr. mocks journalists who sounded alarm over scheduled campaign interview with father
2020-06-17,biden urges trump to 'wake up' and stop waving 'the white flag' on coronavirus
2020-06-17,"rep. matt gaetz, ari fleischer on media cheering protests but covid-shaming trump rally"
2020-06-17,tim graham: abc gives bolton star treatment for anti-trump book – unlike obama's critics
2020-06-17,trump introduces initiative to help veterans suffering from mental health issues
2020-06-17,"who stops hydroxychloroquine trial, after review finds no 'apparent' benefit for coronavirus treatment"
2020-06-17,'the comey rule' shows brendan gleeson as donald trump in first look at upcoming showtime series
2020-06-17,"former bush, trump administration officials form pro-biden super pac"
2020-06-17,"biden goes months without holding press conference, as trump team accuses ex-vp of ‘hiding in his basement’"
2020-06-17,tim scott: dems should not 'demonize progress' for black community because they don't like trump
2020-06-17,trump says he 'absolutely' would support colin kaepernick getting second shot in nfl despite kneeling controversy
2020-06-17,pelosi knocks trump over 'ego trip' to tulsa for campaign rally as local coronavirus cases increase
2020-06-17,trump administration hits assad regime with new economic and travel sanctions
2020-06-17,bolton claims in book that pompeo once called trump 'full of s---'
2020-06-17,bernie sanders blasts trump's planned rally: 'literally incomprehensible'
2020-06-17,lighthizer denies bolton claim that trump asked china’s xi for 2020 help: ‘never happened. i was there’
2020-06-17,ahmaud arbery's mother says trump was 'very compassionate' during white house meeting
2020-06-17,"solicitor general noel francisco, who has argued many trump positions before supreme court, leaving doj"
2020-06-17,mcconnell to lead trump campaign fundraising program encouraging gop senate volunteers
2020-06-18,"trump responds to bolton allegations, shares update on coronavirus vaccine on 'hannity'"
2020-06-18,bolton says putin 'thinks' he can play trump 'like a fiddle' in new claims ahead of book release
2020-06-18,kellyanne conway on bolton allegations: these books are never fact-checked
2020-06-18,trump rips high court for ruling protecting dreamers
2020-06-18,longtime top aide says trump risked security for personal gain
2020-06-18,supreme court rejects trump bid to end daca protections
2020-06-18,bob woodward publishing 2nd book on trump before election
2020-06-18,"trump team sues, trashes bolton as his book calls impeachment too narrow"
2020-06-18,richard manning: bolton book’s lies are ultimate betrayal
2020-06-18,supreme court rules against trump administration bid to end daca program
2020-06-18,trump could see colin kaepernick back in the nfl 'if he has the ability'
2020-06-18,trump jabs roger goodell over statement in support of player protests: 'nobody was even asking for it'
2020-06-18,white house trade adviser peter navarro blasts john bolton's book: it's 'deep swamp revenge porn'
2020-06-18,"bruce springsteen jabs donald trump for handling of the coronavirus, not wearing a face mask"
2020-06-18,read: supreme court opinion on trump effort to end daca
2020-06-18,trump tells 'hannity' coronavirus is 'fading away' ahead of controversial tulsa rally
2020-06-18,"tech giants, including apple, amazon, cheer supreme court's daca ruling"
2020-06-18,"trump dismisses 'fake' polls that show biden leading: 'in my polls, we're ahead'"
2020-06-18,biden has single-digit lead over trump in battleground new hampshire: poll
2020-06-18,"bolton: trump not 'fit' to be president, lacks 'competency to carry out the job'"
