headlines,terms,dates
redskins' jack del rio hits back after fans criticize him for being trump supporter: 'i'm 100% for america',trump,2020-06-24
trump signs executive order expanding hhs efforts to help foster children,trump,2020-06-24
more polling headaches for trump as new national survey suggests he trails biden by 14 points,trump,2020-06-24
cal thomas: trump needs to learn this lesson from ronald reagan,trump,2020-06-24
"senate confirms trump's 200th judge, officially fills all appeals court vacancies",trump,2020-06-24
"james carafano: trump's immigration wins — despite opposition, here's how he produced real results",trump,2020-06-25
the bubblicious trump campaign,trump,2020-06-25
fox news poll: trump and biden in close race in georgia,trump,2020-06-25
"fox news poll: north carolina voters split over trump, republican sen. tillis",trump,2020-06-25
"fox news poll: texas tossup, biden-trump a one-point race",trump,2020-06-25
fox news poll: biden leads in florida as trump lags among seniors,trump,2020-06-25
biden taking aim at trump over health care during battleground state stop,trump,2020-06-25
harry kazianis: korean war began exactly 70 years ago – can trump get a peace treaty to officially end it?,trump,2020-06-25
trump administration takes aim at obamacare in supreme court brief,trump,2020-06-26
trump executive order directs feds to prioritize skills over college degrees in hiring,trump,2020-06-26
trump in trouble? poll numbers have some conservatives nervous,trump,2020-06-26
biden’s low-key virtual campaign is a gamble on trump fatigue,trump,2020-06-26
trump signs executive order to prioritize skills-based hiring,trump,2020-06-26
green bay mayor warns trump before visit that hospitality 'has its limits',trump,2020-06-26
joe biden 'greeted' by trump supporters outside pennsylvania campaign stop,trump,2020-06-26
tim graham: trump vs. cuomo comedy duo — cnn's joke-shaming double standard,trump,2020-06-26
"trump fields audience questions on mail-in voting, riots, says democrats 'destroying our country'",trump,2020-06-26
"victor davis hanson: anger, not trump vs. biden, now driving 2020 election",trump,2020-06-27
trevor potter: trump and barr make baseless and harmful claims about mail-in ballot fraud,trump,2020-06-27
